City,Colors Reported,Shape Reported,State,year,time_only
Dalton,YELLOW,CIRCLE,GA,1999,05:05:00
Cleveland,ORANGE,CIRCLE,NC,1999,20:30:00
Tomah,GREEN,CHEVRON,WI,1999,20:00:00
Seattle,BLUE,LIGHT,WA,1999,17:40:00
Purdy,GREEN,FIREBALL,WA,1999,18:00:00
Lyle,ORANGE,FIREBALL,WA,1999,18:15:00
Michigan,ORANGE,LIGHT,MI,1999,15:40:00
Katy,BLUE,FIREBALL,TX,1999,19:00:00
Mountain Grove,ORANGE,LIGHT,MO,1999,19:30:00
Windser,ORANGE,VARIOUS,CA,1999,23:15:00
Spring Hill,ORANGE,VARIOUS,TN,1999,03:00:00
Browns Valley,GREEN,DISK,CA,1999,04:00:00
Murrieta,RED,LIGHT,CA,1999,20:00:00
Trenton,GREEN,LIGHT,IL,1999,23:30:00
Merrimac,RED,DIAMOND,WI,1999,07:00:00
Norman,YELLOW,SPHERE,OK,1999,17:20:00
Savannah,BLUE,EGG,GA,1999,19:20:00
Miami,RED,CIRCLE,FL,1999,21:00:00
Lake Elsinore,ORANGE,TRIANGLE,CA,1999,19:30:00
Sparks,ORANGE,TRIANGLE,NV,1999,17:00:00
Dallas,ORANGE,FIREBALL,AR,1999,19:30:00
Jamaica Estates,BLUE,LIGHT,NY,1999,20:25:00
Temple City,ORANGE,SPHERE,CA,1999,22:30:00
South Berwick,RED,LIGHT,ME,1999,00:00:00
SC,RED ORANGE,FIREBALL,SC,1999,22:00:00
Lakeland,ORANGE,FIREBALL,FL,1999,23:05:00
Gansevoort,YELLOW GREEN,SPHERE,NY,1999,19:30:00
Rockford,RED,SPHERE,IL,1999,22:00:00
Rockford,ORANGE,LIGHT,IL,1999,23:30:00
San Diego,GREEN,LIGHT,CA,2000,00:23:00
Bellefontaine,RED,LIGHT,OH,2000,03:00:00
Houston,GREEN,SPHERE,TX,2000,21:35:00
Studio City,BLUE,RECTANGLE,CA,2000,21:00:00
Anaheim Hills,GREEN,LIGHT,CA,2000,21:30:00
Redlands,GREEN,FIREBALL,CA,2000,21:30:00
Temecula,GREEN,FIREBALL,CA,2000,21:30:00
Big Bear Lake,BLUE,OTHER,CA,2000,21:35:00
Sanger,BLUE,OTHER,CA,2000,21:35:00
Jurupa,BLUE,LIGHT,CA,2000,21:40:00
Sierra Madre,GREEN,FIREBALL,CA,2000,21:50:00
Tustin,BLUE,LIGHT,CA,2000,22:00:00
Duryea,RED GREEN BLUE,OVAL,PA,2000,19:00:00
Caseyville,RED ORANGE,OTHER,IL,2000,04:00:00
Exton,BLUE,CYLINDER,PA,2000,09:50:00
Austell,BLUE,FIREBALL,GA,2000,22:00:00
Three Rivers,GREEN,FIREBALL,MI,2000,21:35:00
Maitland,ORANGE YELLOW,FORMATION,FL,2000,16:45:00
Maitland,RED,LIGHT,FL,2000,17:00:00
Los Angeles,ORANGE,SPHERE,CA,2000,17:30:00
Grand Junction,BLUE,FIREBALL,CO,2000,21:50:00
Atlanta,BLUE,SPHERE,GA,2000,22:00:00
Denver,RED ORANGE GREEN,FIREBALL,CO,2000,22:10:00
Los Angeles,YELLOW BLUE,DISK,CA,2000,01:31:00
Galesburg,ORANGE,FIREBALL,IL,2000,00:00:00
Louisville,BLUE,FIREBALL,KY,2000,22:30:00
Mt. Vernon,RED,DISK,WA,2000,06:30:00
Longview,RED,CIGAR,TX,2000,18:00:00
Skowhegan,RED,OVAL,ME,2000,19:10:00
West Fargo,RED,SPHERE,ND,2000,22:30:00
Oroville,ORANGE YELLOW,CONE,CA,2000,18:20:00
Orland,GREEN,TRIANGLE,CA,2000,21:40:00
Crescent City,BLUE,FIREBALL,CA,2000,18:15:00
Los Gatos,BLUE,OTHER,CA,2000,18:25:00
Sacramento area,ORANGE,TRIANGLE,CA,2000,19:00:00
Westminster,RED,LIGHT,CA,2000,19:10:00
Sante Fe,YELLOW,OTHER,NM,2000,21:45:00
Leavenworth,ORANGE,FIREBALL,WA,2000,19:40:00
Damascus,GREEN,FIREBALL,OR,2000,00:00:00
Prescott Valley,YELLOW,CIRCLE,AZ,2000,20:40:00
Northbend,RED,CROSS,WA,2000,07:30:00
Cape Canaveral,GREEN,LIGHT,FL,2000,21:00:00
Long Island,RED GREEN,TRIANGLE,NY,2000,10:00:00
Mattawa,ORANGE,OTHER,WA,2000,18:00:00
Bagdad,YELLOW,OTHER,AZ,2000,21:30:00
Castle Rock,RED GREEN,LIGHT,WA,2000,07:00:00
Prescott,YELLOW,CIRCLE,AZ,2000,20:30:00
Osceola,BLUE,OTHER,IN,2000,22:40:00
Euless,GREEN,FIREBALL,TX,2000,23:59:00
Sebring,YELLOW,LIGHT,FL,2000,19:35:00
Prescott Valley,YELLOW,CIRCLE,AZ,2000,00:30:00
Seattle,RED,FIREBALL,WA,2000,19:07:00
Toledo,GREEN,OVAL,WA,2000,20:45:00
Kirkland,GREEN,OTHER,WA,2000,04:20:00
Alturas,ORANGE,FIREBALL,FL,2000,19:30:00
Rockford,ORANGE,FORMATION,IL,2000,21:00:00
Rockford,ORANGE,FIREBALL,IL,2000,21:15:00
Fort Lauderdale,YELLOW GREEN,FIREBALL,FL,2000,20:45:00
Rockford,ORANGE,SPHERE,IL,2000,22:00:00
Clermont,RED,LIGHT,FL,2000,20:00:00
Little Rock,RED ORANGE,OTHER,AR,2000,20:00:00
Black Canyon City,BLUE,CIRCLE,AZ,2000,04:45:00
Rockford,ORANGE,CIRCLE,IL,2000,21:30:00
Rockford,RED,CIRCLE,IL,2000,21:30:00
Rockford,ORANGE,FIREBALL,IL,2000,21:30:00
Walkerton,RED,LIGHT,IN,2000,22:00:00
Ashgrove,ORANGE,LIGHT,MO,2000,00:00:00
Rockford,ORANGE,DISK,IL,2000,19:00:00
Tacoma,GREEN,VARIOUS,WA,2000,23:00:00
Molson,RED GREEN BLUE,FIREBALL,WA,2000,23:45:00
Corvallis,ORANGE GREEN,FIREBALL,OR,2000,19:43:00
Klamath Falls,RED,FIREBALL,OR,2000,19:43:00
Prescott Valley,ORANGE,CYLINDER,AZ,2000,06:00:00
Ogden,BLUE,LIGHT,UT,2000,19:00:00
Huntsville,GREEN,DISK,AL,2000,01:15:00
O'Brien,YELLOW,LIGHT,FL,2000,20:30:00
Tallahassee,ORANGE,TRIANGLE,FL,2000,20:30:00
New York City,RED,DISK,NY,2000,10:00:00
McClave,ORANGE,LIGHT,CO,2000,19:20:00
Chicago,RED ORANGE,TRIANGLE,IL,2000,19:30:00
Walworth,ORANGE,CIRCLE,WI,2000,19:30:00
Antioch,ORANGE,LIGHT,CA,2000,22:40:00
Grove City,RED,TRIANGLE,OH,2000,01:15:00
Boone,BLUE,OVAL,IA,2000,19:55:00
Salt Lake City,RED BLUE,OVAL,UT,2000,03:30:00
Hugo,BLUE,LIGHT,MN,2000,22:20:00
Gaithersburg,YELLOW,FORMATION,MD,2000,19:20:00
Buffalo,RED,FIREBALL,MO,2000,20:15:00
Conway,ORANGE GREEN,FIREBALL,AR,2000,20:30:00
Fredericksburg,ORANGE GREEN,FIREBALL,VA,2000,20:45:00
Olive Branch,ORANGE,FIREBALL,MS,2000,20:45:00
Fair Oaks,RED,LIGHT,CA,2000,19:04:00
Gold Bar,GREEN,SPHERE,WA,2000,21:00:00
Coral Springs,RED,OTHER,FL,2000,00:00:00
Sunland,ORANGE,LIGHT,CA,2000,01:30:00
Encino,BLUE,SPHERE,CA,2000,01:45:00
San Jose,BLUE,LIGHT,CA,2000,20:00:00
Yelm,BLUE,DISK,WA,2000,19:30:00
Lacey,RED BLUE,CROSS,WA,2000,08:10:00
Lake Forest,ORANGE,LIGHT,CA,2000,20:05:00
Providence,ORANGE,RECTANGLE,RI,2000,19:30:00
Somerset,RED,OTHER,OH,2000,19:30:00
Lake City,BLUE,TRIANGLE,TN,2000,00:30:00
Syracuse,BLUE,LIGHT,NY,2000,03:15:00
Elk,RED GREEN BLUE,LIGHT,CA,2000,23:20:00
Prescott Valley,RED,CIRCLE,AZ,2000,00:00:00
Summer Lake,RED ORANGE,SPHERE,OR,2000,07:45:00
Reno,YELLOW BLUE,CIRCLE,NV,2000,20:00:00
Hooker,ORANGE,CIRCLE,OK,2000,03:30:00
Gilbert,RED,CIRCLE,AZ,2000,18:52:00
Charlestown,ORANGE,DISK,RI,2000,05:05:00
Lake Havasu City,RED,LIGHT,AZ,2000,05:20:00
Del Mar,ORANGE,FORMATION,CA,2000,19:00:00
Huntington Beach,RED,LIGHT,CA,2000,21:00:00
Sedillo Hill,RED,LIGHT,NM,2000,05:20:00
Ocean City,RED BLUE,DISK,MD,2000,22:00:00
Tehachapi,RED,LIGHT,CA,2000,20:00:00
Arlington,ORANGE GREEN,LIGHT,TX,2000,20:35:00
Menifee,ORANGE GREEN,FIREBALL,CA,2000,01:10:00
Oceanside,GREEN,FIREBALL,CA,2000,01:10:00
Santa Barbara,GREEN,FIREBALL,CA,2000,01:11:00
Schuyler County area,RED,OVAL,IL,2000,22:30:00
Springfield,RED,OVAL,IL,2000,22:30:00
Antioch,ORANGE,LIGHT,CA,2000,05:30:00
Eugene,ORANGE,SPHERE,OR,2000,22:30:00
East Killingly,RED,DISK,CT,2000,21:00:00
Sedona,YELLOW,SPHERE,AZ,2000,23:00:00
Prescott Valley,RED,SPHERE,AZ,2000,23:45:00
Santa Fe,YELLOW,CYLINDER,NM,2000,20:00:00
Antioch,ORANGE,FIREBALL,CA,2000,22:30:00
Arizona,YELLOW,CIRCLE,AZ,2000,00:00:00
Cocoa Beach,BLUE,CYLINDER,FL,2000,22:00:00
Santa Clara,ORANGE,EGG,CA,2000,21:05:00
Magna,ORANGE,LIGHT,UT,2000,21:23:00
Venice,RED BLUE,DIAMOND,CA,2000,20:00:00
Chino Hills,GREEN,CIRCLE,CA,2000,22:30:00
Eagle River,RED,LIGHT,AK,2000,23:15:00
Kankakee,RED GREEN,CIRCLE,IL,2000,21:30:00
Lewiston,ORANGE,LIGHT,ME,2000,13:00:00
Federal Way,BLUE,CIGAR,WA,2000,22:07:00
Seattle,GREEN,LIGHT,WA,2000,22:07:00
Santa Maria,RED GREEN BLUE,OVAL,CA,2000,19:00:00
Ogden,RED,CIRCLE,UT,2000,22:30:00
Franklin,RED,DIAMOND,MA,2000,00:12:00
Waterford,BLUE,DISK,NJ,2000,03:00:00
Johnson County,RED GREEN,SPHERE,KS,2000,20:30:00
Simpsonville,RED BLUE,LIGHT,SC,2000,21:50:00
Triborough Bridge,GREEN,LIGHT,NY,2000,05:05:00
Laguna Beach,BLUE,DISK,CA,2000,08:00:00
Camp Atturburry,RED,SPHERE,IN,2000,08:30:00
Covina,ORANGE,OTHER,CA,2000,22:17:00
Randall,ORANGE,TRIANGLE,MN,2000,23:30:00
Vacaville,ORANGE,LIGHT,CA,2000,23:45:00
Stafford Forge,RED,TRIANGLE,NJ,2000,21:25:00
Tuckerton,RED YELLOW GREEN,TRIANGLE,NJ,2000,21:25:00
Bushkill,BLUE,CIRCLE,PA,2000,03:00:00
Pittsburg,RED GREEN,LIGHT,TX,2000,22:30:00
Houston,GREEN,LIGHT,TX,2000,03:30:00
Visalia,BLUE,FIREBALL,CA,2000,18:00:00
Gardner,ORANGE GREEN,EGG,KS,2000,23:00:00
Victor,RED GREEN,DISK,NY,2000,20:00:00
Burbank,ORANGE,DISK,CA,2000,20:00:00
Jersey City,ORANGE,SPHERE,NJ,2000,23:15:00
St. Petersburg,ORANGE,FIREBALL,FL,2000,22:00:00
Fort Morgan,GREEN,OVAL,AL,2000,21:00:00
Schuyler County,ORANGE GREEN,LIGHT,IL,2000,22:07:00
Escondido,RED,LIGHT,CA,2000,22:00:00
Greer,RED,TRIANGLE,AZ,2000,19:30:00
Overgaard,RED BLUE,TRIANGLE,AZ,2000,19:30:00
Manzanita,ORANGE,FIREBALL,OR,2000,21:45:00
Manzanita,ORANGE,LIGHT,OR,2000,22:00:00
Gilbert,RED,LIGHT,AZ,2000,20:15:00
Germantown,RED,TRIANGLE,MD,2000,22:35:00
Jacksonville,RED YELLOW GREEN,LIGHT,FL,2000,04:00:00
Hillsboro,RED,CIRCLE,MO,2000,19:00:00
Levittown,GREEN,CYLINDER,NY,2000,21:35:00
Moundsville,RED YELLOW,FLASH,WV,2000,22:00:00
Framingham,ORANGE,SPHERE,MA,2000,02:16:00
Freer,RED,CIRCLE,TX,2000,03:00:00
Chanhassen,ORANGE,DISK,MN,2000,18:30:00
Seattle,ORANGE BLUE,OTHER,WA,2000,23:11:00
Saratoga,BLUE,OVAL,NY,2000,14:00:00
Cahokia,GREEN BLUE,TRIANGLE,IL,2000,21:45:00
New York City,RED,TRIANGLE,NY,2000,18:30:00
Fort Wayne,ORANGE,OTHER,IN,2000,23:10:00
Willard Bay,ORANGE,LIGHT,UT,2000,00:00:00
Yakima,YELLOW,LIGHT,WA,2000,01:25:00
Stetson,YELLOW,LIGHT,ME,2000,20:00:00
Lebanon,RED BLUE,FIREBALL,VA,2000,21:43:00
Salem,ORANGE,VARIOUS,OR,2000,22:25:00
Glendale,RED,VARIOUS,CO,2000,16:50:00
St. Peter,YELLOW GREEN,CIRCLE,MN,2000,23:15:00
Blackfoot,RED,LIGHT,ID,2000,00:15:00
Orange,ORANGE,LIGHT,CA,2000,21:23:00
San Diego,BLUE,LIGHT,CA,2000,21:30:00
Interstate 5,RED,OTHER,CA,2000,21:00:00
Penn Valley,YELLOW,CIRCLE,CA,2000,23:50:00
Wantage,YELLOW,CIRCLE,NJ,2000,17:00:00
Ogden,ORANGE,SPHERE,UT,2000,21:40:00
George,GREEN,LIGHT,WA,2000,00:10:00
Montgomery Pass,GREEN,OVAL,NV,2000,22:00:00
Mount Pleasant,RED,CIRCLE,SC,2000,21:15:00
Kewaunee,ORANGE,DISK,WI,2000,01:00:00
Windsor Heights,RED,LIGHT,IA,2000,21:00:00
Conyers,RED,LIGHT,GA,2000,21:45:00
Tacoma,RED,LIGHT,WA,2000,21:50:00
Tacoma,RED,CIRCLE,WA,2000,22:00:00
Riverview,ORANGE,CIRCLE,FL,2000,22:15:00
Tacoma,RED,LIGHT,WA,2000,22:25:00
Houston,RED,FIREBALL,TX,2000,22:30:00
Tacoma,RED,LIGHT,WA,2000,22:30:00
Tacoma,RED ORANGE,OTHER,WA,2000,22:30:00
Graham,RED BLUE,CIGAR,WA,2000,23:30:00
Seattle,GREEN,LIGHT,WA,2000,05:47:00
Rockford,ORANGE,VARIOUS,IL,2000,20:15:00
Marinette,GREEN,CYLINDER,WI,2000,20:30:00
Thornton,YELLOW,CYLINDER,CO,2000,20:30:00
Citrus Heights,BLUE,OTHER,CA,2000,21:00:00
San Diego,GREEN,LIGHT,CA,2000,21:00:00
Los Angeles,BLUE,LIGHT,CA,2000,21:15:00
Sunnyvale,BLUE,CIRCLE,CA,2000,21:20:00
Visalia,BLUE,LIGHT,CA,2000,21:20:00
West Covina,BLUE,LIGHT,CA,2000,21:25:00
Covina,BLUE,OVAL,CA,2000,21:30:00
Las Vegas,GREEN,LIGHT,NV,2000,21:30:00
Pacific Palisades,GREEN BLUE,OTHER,CA,2000,21:30:00
Santa Rosa,BLUE,LIGHT,CA,2000,21:30:00
Thermal,BLUE,LIGHT,CA,2000,21:30:00
Kingston Springs,RED,FIREBALL,TN,2000,22:00:00
Winnemucca,GREEN,LIGHT,NV,2000,22:10:00
Stanwood - I-5 corridor,RED,FIREBALL,WA,2000,21:50:00
Santa Rosa,GREEN,LIGHT,CA,2000,22:00:00
Klamath National Wildlife Refuge,BLUE,CYLINDER,OR,2000,07:45:00
St. George Island,ORANGE,TRIANGLE,FL,2000,23:15:00
Gilbert,RED,LIGHT,AZ,2000,20:00:00
Gilbert,RED,DIAMOND,AZ,2000,20:10:00
Chandler,RED,CIRCLE,AZ,2000,20:19:00
Glendale,RED,LIGHT,AZ,2000,20:30:00
Falfurias,RED,LIGHT,TX,2000,22:00:00
Casa,GREEN,CIGAR,AR,2000,23:00:00
Gilbert,RED,CIRCLE,AZ,2000,19:25:00
Gilbert,RED,LIGHT,AZ,2000,20:00:00
Glendale,RED,FIREBALL,AZ,2000,20:00:00
Gilbert,RED,CIRCLE,AZ,2000,20:10:00
Portland,BLUE,FLASH,OR,2000,02:00:00
Thibodaux,ORANGE,FIREBALL,LA,2000,23:30:00
Cheshire,ORANGE,OVAL,OH,2000,01:15:00
Gilbert,RED,LIGHT,AZ,2000,19:30:00
Portland,ORANGE GREEN,LIGHT,OR,2000,00:34:00
Mananita,GREEN,SPHERE,CA,2000,04:30:00
Woodinville,RED,DISK,WA,2000,23:52:00
Dana,BLUE,CIRCLE,IL,2000,21:38:00
Highlands Ranch,RED,LIGHT,CO,2000,22:00:00
Watertown,YELLOW,TRIANGLE,CT,2000,22:55:00
Ocean Parkway,RED,CHEVRON,NY,2000,23:30:00
Milwaukee,RED,FORMATION,WI,2000,10:00:00
Fire Island,ORANGE,CIRCLE,NY,2000,23:00:00
Chandler,RED,LIGHT,AZ,2000,20:15:00
Gilbert,RED,CIRCLE,AZ,2000,20:15:00
Gilbert,RED,LIGHT,AZ,2000,20:40:00
Glendale,RED,CIRCLE,CA,2000,21:20:00
San Diego,RED,FIREBALL,CA,2000,21:30:00
San Diego,RED,LIGHT,CA,2000,22:00:00
Brenham,RED BLUE,LIGHT,TX,2000,23:20:00
Portland,RED ORANGE,LIGHT,OR,2000,03:35:00
Gilbert,RED,CIRCLE,AZ,2000,20:12:00
Gilbert,RED,LIGHT,AZ,2000,20:15:00
Two Guns,BLUE,FIREBALL,AZ,2000,03:15:00
Rochester,GREEN,OTHER,NY,2000,00:00:00
Chandler,GREEN,CIGAR,AZ,2000,22:40:00
Kent,BLUE,OTHER,WA,2000,12:05:00
Key Peninsula,RED,LIGHT,WA,2000,21:30:00
Libby,BLUE,DISK,MT,2000,19:20:00
Chandler,RED,CIRCLE,AZ,2000,21:00:00
Surprise,RED,LIGHT,AZ,2000,21:00:00
Valley City,GREEN,FLASH,OH,2000,22:27:00
Bridgeport,GREEN,CIRCLE,MI,2000,22:30:00
Springbrook,RED,LIGHT,WI,2000,03:00:00
Diamond Bar,ORANGE,CIRCLE,CA,2000,09:15:00
Chandler,RED,OVAL,AZ,2000,20:00:00
Gilbert,RED,LIGHT,AZ,2000,20:00:00
Gilbert,RED,LIGHT,AZ,2000,20:10:00
Gilbert,RED,SPHERE,AZ,2000,20:20:00
Lake Havasu City,ORANGE,CONE,AZ,2000,21:43:00
Las Vegas,RED,FORMATION,NV,2000,00:30:00
American Falls,BLUE,DISK,IL,2000,17:00:00
Katy,RED,OVAL,TX,2000,21:00:00
Starkville,GREEN,FIREBALL,MS,2000,22:00:00
Covina,RED,LIGHT,CA,2000,23:00:00
Chandler,RED,DISK,AZ,2000,19:57:00
Nevada City,RED GREEN BLUE,VARIOUS,CA,2000,23:30:00
Nevada City,RED GREEN BLUE,SPHERE,CA,2000,01:30:00
St. Petersburg,RED,SPHERE,FL,2000,18:45:00
East Petersburg,BLUE,CIRCLE,PA,2000,18:30:00
Chandler,RED,LIGHT,AZ,2000,20:00:00
Gilbert,RED,LIGHT,AZ,2000,20:00:00
Mesa,RED,CIRCLE,AZ,2000,20:05:00
Phoenix,RED ORANGE,LIGHT,AZ,2000,20:05:00
Gilbert,RED,LIGHT,AZ,2000,20:10:00
Chandler,RED,LIGHT,AZ,2000,20:14:00
Gilbert,RED,LIGHT,AZ,2000,20:15:00
Wapakoneta,BLUE,CONE,OH,2000,23:00:00
Portland,RED,OTHER,OR,2000,02:45:00
West Covina,RED,DISK,CA,2000,22:08:00
Newcastle,GREEN,FIREBALL,CA,2000,23:23:00
Gay Head,RED,CIRCLE,MA,2000,22:00:00
San Francisco,GREEN,TRIANGLE,CA,2000,22:15:00
Fairfield,RED,CYLINDER,TX,2000,06:00:00
Camas,RED,TRIANGLE,WA,2000,21:45:00
Vail,BLUE,FLASH,AZ,2000,02:17:00
Waverly,RED YELLOW,LIGHT,KY,2000,05:03:00
Lewiston,RED GREEN,CIRCLE,ME,2000,22:30:00
Loveland,ORANGE,DISK,CO,2000,23:00:00
Pasadena,RED,DISK,CA,2000,09:30:00
San Diego,RED,TRIANGLE,CA,2000,21:30:00
San Diego,RED,FIREBALL,CA,2000,22:00:00
Fairfield,RED YELLOW,LIGHT,CA,2000,23:30:00
Goverment Camp,ORANGE,LIGHT,OR,2000,23:30:00
Middletown,YELLOW,OTHER,CA,2000,17:00:00
Lenexa,ORANGE,LIGHT,KS,2000,22:15:00
Everett,YELLOW,LIGHT,WA,2000,01:30:00
Columbia Heights,RED,OTHER,MN,2000,20:43:00
Post,BLUE,LIGHT,TX,2000,21:00:00
Seattle,BLUE,CIGAR,WA,2000,04:00:00
Chandler,YELLOW GREEN BLUE,OTHER,AZ,2000,11:00:00
Westlake Village,RED GREEN BLUE,LIGHT,CA,2000,03:45:00
Redding,RED,TRIANGLE,CA,2000,21:25:00
Mechanicsburg,BLUE,FIREBALL,PA,2000,03:00:00
Johannesburg,ORANGE,FIREBALL,MI,2000,22:15:00
Williamsville,RED GREEN,LIGHT,NY,2000,21:00:00
Duncan,BLUE,OTHER,OK,2000,02:00:00
Merritt Island,RED,TRIANGLE,FL,2000,06:15:00
Berkeley,ORANGE,DISK,CA,2000,20:19:00
Pinos Altos,ORANGE,CIRCLE,NM,2000,22:00:00
Owensboro,RED,CIRCLE,KY,2000,23:30:00
San Francisco,YELLOW,CHEVRON,CA,2000,16:00:00
Pueblo,YELLOW,SPHERE,CO,2000,21:00:00
Dodge City,YELLOW,SPHERE,KS,2000,03:00:00
Dent,RED GREEN,LIGHT,MN,2000,04:00:00
Columbiana,BLUE,CIRCLE,OH,2000,10:50:00
Portland,ORANGE,CIRCLE,TN,2000,13:30:00
Cinnaminson,RED,FIREBALL,NJ,2000,15:00:00
Maunaloa,RED,CHEVRON,HI,2000,20:12:00
Jordan,BLUE,CIGAR,MN,2000,13:00:00
Capistrano Beach,BLUE,FIREBALL,CA,2000,20:00:00
Palm Springs,GREEN,FIREBALL,CA,2000,20:13:00
Tucson,GREEN,FIREBALL,AZ,2000,20:30:00
Taunton,RED,DISK,MA,2000,00:15:00
Highlands Ranch,RED ORANGE BLUE,TRIANGLE,CO,2000,19:30:00
Vermilion,GREEN,DISK,OH,2000,01:00:00
Layton,RED BLUE,TRIANGLE,UT,2000,20:00:00
Oshkosh,ORANGE,DISK,WI,2000,21:00:00
Glasgow,RED,OTHER,KY,2000,21:13:00
Crofton,RED,CIRCLE,KY,2000,21:15:00
Globe,GREEN,CIRCLE,AZ,2000,20:00:00
Lamoine,GREEN,TRIANGLE,ME,2000,20:00:00
Phoenix,BLUE,OTHER,AZ,2000,20:00:00
Scottsdale,BLUE,FIREBALL,AZ,2000,20:00:00
Los Angeles,RED ORANGE,FORMATION,CA,2000,21:45:00
North Hollywood,RED,VARIOUS,CA,2000,21:45:00
San Fernando Valley,RED,LIGHT,CA,2000,21:47:00
Arleta,RED,LIGHT,CA,2000,22:00:00
San Antonio,RED BLUE,VARIOUS,TX,2000,23:30:00
Jones Beach,RED BLUE,DIAMOND,NY,2000,23:15:00
Sterling Heights,ORANGE,OVAL,MI,2000,09:54:00
Crossville,RED,CIRCLE,TN,2000,17:00:00
Severn,ORANGE,DISK,MD,2000,18:10:00
Snohomish,GREEN,OTHER,WA,2000,00:05:00
Topsfield,GREEN,FIREBALL,MA,2000,22:00:00
Las Vegas,RED YELLOW,OTHER,NV,2000,20:25:00
Vallejo,ORANGE,TEARDROP,CA,2000,01:15:00
Perryville,ORANGE,OVAL,MO,2000,03:00:00
Elverta,RED BLUE,LIGHT,CA,2000,22:00:00
Forest Hills,GREEN,CIRCLE,NY,2000,01:00:00
Amarillo,BLUE,LIGHT,TX,2000,19:30:00
Breezewood,ORANGE YELLOW BLUE,CIGAR,PA,2000,14:18:00
Clear Lake,GREEN,EGG,TX,2000,04:00:00
Nassau Bay,GREEN,OVAL,TX,2000,04:00:00
Bellerose,YELLOW,DISK,NY,2000,23:55:00
Napoleonville,RED,OTHER,LA,2000,19:00:00
Yampa,RED GREEN,LIGHT,CO,2000,19:00:00
Eureka,ORANGE,LIGHT,CA,2000,20:30:00
Tucson,RED BLUE,DIAMOND,AZ,2000,21:00:00
Seattle,GREEN,CIRCLE,WA,2000,20:45:00
Old Fort,YELLOW,CIGAR,TN,2000,06:30:00
San Jose,ORANGE YELLOW,OTHER,CA,2000,02:30:00
Cooper City,BLUE,OTHER,FL,2000,19:30:00
Puyallup,RED,DIAMOND,WA,2000,23:00:00
Harpursville,RED BLUE,VARIOUS,NY,2000,00:05:00
Seattle,GREEN,EGG,WA,2000,22:00:00
Kent,BLUE,OTHER,WA,2000,06:45:00
Poulsbo,ORANGE,OTHER,WA,2000,20:30:00
Longville,RED,VARIOUS,LA,2000,21:30:00
Phoenix,RED,FIREBALL,AZ,2000,08:30:00
Lake Worth,YELLOW,LIGHT,FL,2000,00:00:00
Laurel,BLUE,SPHERE,MD,2000,01:00:00
Kintnersville,ORANGE,OTHER,PA,2000,15:00:00
Edgewood,GREEN,FIREBALL,WA,2000,17:20:00
Aberdeen,GREEN,FIREBALL,WA,2000,17:25:00
Gilbert,RED,LIGHT,AZ,2000,18:30:00
Fairview,RED YELLOW,DISK,MI,2000,20:00:00
Marion,ORANGE,LIGHT,KS,2000,21:30:00
Woodland,ORANGE,SPHERE,CA,2000,21:12:00
Brookfield,RED,OTHER,WI,2000,18:30:00
New City,GREEN,DISK,NY,2000,20:32:00
Costa Mesa,ORANGE,TRIANGLE,CA,2000,18:30:00
Bend,RED BLUE,CIRCLE,OR,2000,16:50:00
Fortuna,ORANGE,OVAL,CA,2000,22:35:00
Ann Arbor,RED,LIGHT,MI,2000,19:30:00
Sanibel Island,RED,LIGHT,FL,2000,22:00:00
Peoria,RED ORANGE,CIRCLE,AZ,2000,01:00:00
Port Jefferson,GREEN,VARIOUS,NY,2000,21:45:00
Somerville,GREEN,FIREBALL,NJ,2000,22:00:00
Lynchburg,BLUE,LIGHT,VA,2000,23:15:00
Greenfield Center,GREEN,OTHER,NY,2000,19:00:00
Kokomo,ORANGE,FLASH,IN,2000,20:00:00
Fort Smith,ORANGE,TRIANGLE,AR,2000,21:00:00
Vining,GREEN,OVAL,MN,2000,23:54:00
Monticello,ORANGE,VARIOUS,NY,2000,20:45:00
Dilley,RED BLUE,DISK,TX,2000,22:15:00
Lenexa,ORANGE,FORMATION,KS,2000,21:15:00
Arlington,RED,DISK,VA,2000,22:00:00
Belfry,BLUE,LIGHT,KY,2000,03:00:00
Coeur d'Alene,ORANGE,LIGHT,ID,2000,17:15:00
Denver,RED,TRIANGLE,CO,2000,17:52:00
Iron River,YELLOW GREEN BLUE,OTHER,MI,2000,21:30:00
Kennewick,ORANGE,FIREBALL,WA,2000,21:00:00
Edina,ORANGE,CIRCLE,MN,2000,21:30:00
Placerville,GREEN,FIREBALL,CA,2000,22:15:00
Kapa'a,BLUE,CIRCLE,HI,2000,05:30:00
Kilauea,ORANGE BLUE,FIREBALL,HI,2000,04:29:00
Lake Tahoe,GREEN,FIREBALL,CA,2000,21:30:00
Seldon,RED,TRIANGLE,NY,2000,22:50:00
Dallas,RED GREEN,LIGHT,TX,2000,22:00:00
Mesa,RED,LIGHT,AZ,2000,19:15:00
Bloomington,RED ORANGE,OVAL,CA,2000,00:01:00
Gilbert,RED,LIGHT,AZ,2000,23:45:00
Madison,RED GREEN,TEARDROP,OH,2000,18:45:00
Concord,RED GREEN,CIRCLE,NH,2000,23:10:00
Redwood Valley,BLUE,LIGHT,CA,2000,01:09:00
Waldorf,GREEN,LIGHT,MD,2000,05:30:00
North Pole,ORANGE,SPHERE,AK,2000,16:36:00
Beaver,RED,DISK,PA,2000,18:25:00
Graham,GREEN,LIGHT,WA,2000,00:20:00
